episode,accumulated P/L,accumulated reward
1,1109.9999999991887,1109.9999999991887
2,-210.00000000071873,-210.00000000071873
3,-8309.999999998894,-8309.999999998894
4,-13499.9999999998,-13499.9999999998
5,-9599.999999999938,-9599.999999999938
6,-12699.999999999818,-12699.999999999818
7,2600.0000000000514,2600.0000000000514
8,-12099.999999999936,-12099.999999999936
9,-7800.000000000155,-7800.000000000155
10,-10999.999999999944,-10999.999999999944
11,-14099.999999999967,-14099.999999999967
12,-17160.000000000226,-17160.000000000226
13,-10430.00000000049,-10430.00000000049
14,12970.000000001106,12970.000000001106
15,-10600.000000000024,-10600.000000000024
16,4660.000000000221,4660.000000000221
17,4529.9999999988895,4529.9999999988895
18,2550.0000000000964,2550.0000000000964
19,-13599.999999998288,-13599.999999998288
20,17179.99999999961,17179.99999999961
21,-9359.999999999927,-9359.999999999927
22,-7940.000000000255,-7940.000000000255
23,11769.999999999356,11769.999999999356
24,12840.000000000065,12840.000000000065
25,-10899.99999999989,-10899.99999999989
26,-8289.99999999966,-8289.99999999966
27,-1679.9999999985005,-1679.9999999985005
28,-10800.000000000404,-10800.000000000404
29,-3270.0000000005502,-3270.0000000005502
30,-6299.999999999243,-6299.999999999243
31,-15700.000000000357,-15700.000000000357
32,17139.99999999998,17139.99999999998
33,8639.999999999189,8639.999999999189
34,9559.999999999178,9559.999999999178
35,-5039.999999999338,-5039.999999999338
36,-7809.999999999917,-7809.999999999917
37,-1849.9999999993147,-1849.9999999993147
38,-1000.000000000939,-1000.000000000939
39,-10139.999999999814,-10139.999999999814
40,5150.000000000712,5150.000000000712
41,-12199.999999999276,-12199.999999999276
42,50.00000000094769,50.00000000094769
43,-6329.999999999671,-6329.999999999671
44,16770.000000000215,16770.000000000215
45,-6669.999999999451,-6669.999999999451
46,-11900.000000000126,-11900.000000000126
